reg	true_label	predicted_label	prob	assignments
10	RegPermissive	FacultativeHet	-106.903547882	8
10	RegPermissive	Bivalent	-inf	2
10	RegPermissive	Promoter	-inf	2
10	RegPermissive	Unclassified	-125.962643564	0
10	RegPermissive	Quiescent	-inf	0
10	RegPermissive	RegPermissive	-47.3887561025	25
10	RegPermissive	Transcribed	-inf	3
10	RegPermissive	ConstitutiveHet	-inf	0
10	Unclassified	Enhancer	-inf	0
10	Unclassified	FacultativeHet	-43.0669740779	4
10	Unclassified	Bivalent	-inf	0
10	Unclassified	Promoter	-inf	0
10	Unclassified	Unclassified	-36.9444978819	4
10	Unclassified	Quiescent	-inf	2
10	Unclassified	RegPermissive	-40.6323493519	5
10	Unclassified	Transcribed	-inf	5
10	Unclassified	ConstitutiveHet	-60.7460841557	0
10	Quiescent	Enhancer	-inf	0
10	Quiescent	FacultativeHet	-72.3785827839	3
10	Quiescent	Bivalent	-inf	0
10	Quiescent	Promoter	-inf	0
10	Quiescent	Unclassified	-107.311456314	0
10	Quiescent	Quiescent	-inf	29
10	Quiescent	RegPermissive	-inf	0
10	Quiescent	Transcribed	-inf	1
10	Quiescent	ConstitutiveHet	-66.1074548513	0
10	Promoter	Enhancer	-inf	0
10	Promoter	FacultativeHet	-47.3664672497	1
10	Promoter	Bivalent	-30.4412101291	1
10	Promoter	Promoter	-19.3975404956	9
10	Promoter	Unclassified	-inf	0
10	Promoter	Quiescent	-inf	0
10	Promoter	RegPermissive	-18.3086925382	4
10	Promoter	Transcribed	-inf	0
10	Promoter	ConstitutiveHet	-inf	0
10	Transcribed	Enhancer	-inf	0
10	Transcribed	FacultativeHet	-inf	0
10	Transcribed	Bivalent	-inf	0
10	Transcribed	Promoter	-inf	0
10	Transcribed	Unclassified	-96.4594831352	2
10	Transcribed	Quiescent	-inf	2
10	Transcribed	RegPermissive	-inf	0
10	Transcribed	Transcribed	-inf	32
10	Transcribed	ConstitutiveHet	-inf	0
10	ConstitutiveHet	Enhancer	-inf	1
10	ConstitutiveHet	FacultativeHet	-29.8656445217	2
10	ConstitutiveHet	Bivalent	-inf	0
10	ConstitutiveHet	Promoter	-inf	0
10	ConstitutiveHet	Unclassified	-inf	0
10	ConstitutiveHet	Quiescent	-25.6285178059	9
10	ConstitutiveHet	RegPermissive	-inf	1
10	ConstitutiveHet	Transcribed	-inf	2
10	ConstitutiveHet	ConstitutiveHet	-30.1279042812	1
12	Enhancer	Enhancer	-19.0027590453	5
12	Enhancer	FacultativeHet	-31.1169908553	0
12	Enhancer	Bivalent	-inf	0
12	Enhancer	Promoter	-inf	0
12	Enhancer	Unclassified	-41.5651791277	0
12	Enhancer	Quiescent	-inf	0
12	Enhancer	RegPermissive	-15.8263749927	10
12	Enhancer	Transcribed	-inf	0
12	Enhancer	ConstitutiveHet	-53.5466558144	0
12	Bivalent	Enhancer	-inf	0
12	Bivalent	FacultativeHet	-29.8139995209	1
12	Bivalent	Bivalent	-21.0478128951	6
12	Bivalent	Promoter	-21.6645621524	2
12	Bivalent	Unclassified	-37.2584097046	0
12	Bivalent	Quiescent	-inf	0
12	Bivalent	RegPermissive	-18.7916404251	4
12	Bivalent	Transcribed	-inf	0
12	Bivalent	ConstitutiveHet	-inf	0
12	FacultativeHet	Enhancer	-inf	1
12	FacultativeHet	FacultativeHet	-43.18318805	20
12	FacultativeHet	Bivalent	-inf	0
12	FacultativeHet	Promoter	-inf	1
12	FacultativeHet	Unclassified	-83.0270590058	1
12	FacultativeHet	Quiescent	-inf	6
12	FacultativeHet	RegPermissive	-inf	3
12	FacultativeHet	Transcribed	-inf	0
12	FacultativeHet	ConstitutiveHet	-inf	0
12	RegPermissive	Enhancer	-inf	1
12	RegPermissive	FacultativeHet	-94.5605755469	8
